SRL_NO,AGENTBOOTH_BRANCH,REQ_LIMIT,LOAN_TENOR,INTEREST_RATE,PROPOSED_EMI,EXISTING_LOAN,OUTSTANDING_AMOUNT,EXT_LOAN_EMI,BUS_ASSETS,MONTHLY_INCOME,BUSINESS_AGE,CASH_IN_HAND,STOCK,RECEIVABLE,PAYABLE,YEARLY_SALES,NET_PROFIT_MARGIN,DEBT_BUR_RATIO,LOAN_TO_PRICE,DEBT_EQU_RATIO,OWNER_AGE,OWNER_PNW,GUARANTOR_AGE,GUARANTOR_PNW,ELIGIBILITY_PART1,ELIGIBILITY_PART2,CIB_STATUS,APPROVED
2993,2,0.5,9,15,0.006,0,0,0,0.652,0.095,9,0.05,0.824,0.933,0.306,12.363,9.2,6.6,34.5,23.2,39,11.45,40,9,2,15,1,1
2998,2,0.2,2,8.5,0.102,0,0,0,0.09,0.04,11,0.04,0.485,0.12,0.035,3.857,12.4,0,0,40,49,0.55,0,0,5,14.5,0,0
2999,2,0.6,30,14,0.024,0,0,0,0.357,0.059,11,0.075,1.313,0.764,0.121,9.307,7.6,40.7,30.7,25.1,41,54.713,33,35,4,15,1,1
3003,1,0.25,24,15,0.012,0,0,0,0.155,0.043,9,0.045,0.924,0.226,0.15,4.15,12.3,28.8,25,19.8,30,1.425,37,2,3,12,1,1
3004,1,0.7,36,15,0.025,0,0,0,0.26,0.084,7,0.15,1.65,0.25,0.075,11.021,9.1,29.3,38.4,31.3,34,5.634,37,5,3,14.5,1,1
3005,1,0.2,24,15,0.01,0.1,0,0,0.095,0.025,19,0.082,0.362,0.092,0.031,2.466,12.4,38.6,47.3,33.3,42,1.06,46,2,0,6.5,1,1
3006,2,0.3,36,14,0.01,0,0,0,0.246,0.034,57,0.04,0.842,0.145,0.027,2.653,15.4,30.4,31.3,24.1,25,3.43,38,2,4,14,0,0
3010,2,0.5,24,15,0.025,0,0,0,0.565,0.053,4,0.1,0.644,0.138,0.053,3.691,17.1,46.5,68.5,35.9,32,1.944,44,5,3,13,1,1
3011,2,0.8,36,15,0.028,0,0,0,0.394,0.239,19,0.1,4.695,1.725,0.05,27.438,10.5,11.7,12.6,11.7,48,19.864,39,8,5,15,1,1
3012,1,0.8,36,15,0.028,0,0,0,0.182,0.064,20,0.15,2.935,0.524,0.136,10.345,7.4,43.7,24.1,21.9,32,9,31,4,4,14.5,1,1
3013,2,0.8,36,13,0.027,0.8,0.249,0.028,4.35,0.106,12,0.15,1.929,0.666,0.006,18.446,6.9,52.3,40.5,14.8,44,19.477,39,7,5,15,1,1
3014,2,0.8,36,14,0.028,0,0,0,0.666,0.06,4,0.05,1.524,0.955,0.319,10.256,7.7,42.2,37,27.8,31,5.962,36,4,4,14.5,1,1
3016,2,0.6,36,14,0.021,0,0,0,0.25,0.078,7,0.44,0.961,0.147,0.055,6.05,15.5,26.6,57,40.2,51,35.611,39,6,5,14.5,1,1
