SRL_NO,AGENTBOOTH_BRANCH,REQ_LIMIT,LOAN_TENOR,INTEREST_RATE,PROPOSED_EMI,EXISTING_LOAN,OUTSTANDING_AMOUNT,EXT_LOAN_EMI,BUS_ASSETS,MONTHLY_INCOME,BUSINESS_AGE,CASH_IN_HAND,STOCK,RECEIVABLE,PAYABLE,YEARLY_SALES,NET_PROFIT_MARGIN,DEBT_BUR_RATIO,LOAN_TO_PRICE,DEBT_EQU_RATIO,OWNER_AGE,OWNER_PNW,GUARANTOR_AGE,GUARANTOR_PNW,ELIGIBILITY_PART1,ELIGIBILITY_PART2,CIB_STATUS,APPROVED
"7,657",2,0.500,24,13,0.024,0,0,0,0.2,0.073,9,0.35,0.89,0.05,0.035,4.368,20.1,32.9,55.3,34.4,48,10.165,40,113,4,15,1,1
"7,658",1,0.500,6,14,0.012,0.3,0.231,0.014,0.13,0.085,14,0.3,1.88,0.707,0.075,9.934,10.3,30.5,29.1,24.9,47,34.111,41,8,0,7.500,0,0
"7,659",2,0.500,7,14,0.01,0.6,0,0,0.301,0.052,3,0.05,2.092,0.971,0.846,8.041,7.8,14.9,22.6,19.5,30,4.4,37,9,3,14,1,1
"7,661",2,0.300,24,14,0.015,0,0,0,0.09,0.037,3,0.05,0.565,0.222,0.127,3.08,14.3,39.6,45.5,37.5,31,3.55,42,3,4,12.500,1,1
"7,662",2,0.500,6,14,0.012,0.6,0.274,0.02,0.195,0.1,9,0.05,2.85,2.38,0.42,17.65,6.8,14,10.4,9.9,46,11.9,39,8,0,7.500,1,1
"7,663",2,0.800,36,14,0.028,0,0,0,1.134,0.2,7,1.04,15.093,0.872,0.18,26.39,9.1,13.8,5.1,47.6,25,43.453,42,8,0,7.500,1,1
"7,665",2,0.600,30,13,0.024,0.5,0.116,0.025,0.04,0.063,23,0.12,0.97,0.31,0.05,7.27,10.4,37.7,48.8,43.2,49,3.374,45,2,4,15,1,1
"7,666",2,0.600,36,12,0.02,0,0,0,0.3,0.047,11,0.11,1.472,0.11,0.03,5.927,9.6,56.6,51.5,40.8,35,2.032,36,3,3,13.500,1,1
"7,667",2,0.300,24,12,0.014,0.3,0.286,0,0.28,0.033,5,0.1,1.151,0.025,0.02,4.23,9.4,43.2,26,38.2,33,1.32,34,6,4,12,1,1
"7,668",2,0.600,30,14,0.024,0.7,0.332,0.028,3.405,0.176,14,0.1,0.182,1.344,0.06,3.817,55.3,29.8,63.6,18.8,45,12.84,39,7,2,16.500,1,0
